peril,n.危险
detective,n.侦探 adj.刑侦的
detect,v.查明；检测
decay,n./v.衰退；腐烂；腐朽
tremendous,adj.巨⼤的；极⼤的
marvelous,adj.令⼈惊异的；了不起的
jealous,adj.妒忌的
numerous,adj.众多的；许多的
poison,n.毒药
poisonous,adj.有毒的；引起中毒的
demonstrate,v.证明；证实
deputy,n.副⼿；代理
continuous,adj.连续不断的；持续的
enormous,adj.巨⼤的；庞⼤的
authority,n.权⼒；权威
aware,adj.意识到的；知道的
ashamed,adj.羞愧的；惭愧的
amuse,v.逗乐；（使）娱乐
deliberate,adj.故意的；不慌不忙的 v.仔细考虑
deliberately,adv.故意；不慌不忙地
award,n.奖品；奖⾦
deteriorate,v.恶化
arise,v.出现；由...引起；上升
arouse,v.唤醒；引起；激起
concept,n.概念；观念
avenue,n.⼤街；林荫道；途径
capable,adj.有能⼒的；能⼲的
occupy,v.占领；占⽤
occupation,n.占领；职业
perceive,v.认为；理解；察觉
reception,n.接待处；招待会；接收
defense,n.防卫；保护；辩护
occasion,n.时机；场合 2
occasional,adj.偶然的；临时的
cable,n.电缆；缆绳；电报
region,n.区域；地区；领域
regulate,v.管理；控制；调整；调节
royal,adj.王室的；皇家的；盛⼤的
bankrupt,adj.破产的 v.使破产 n.破产者
corrupt,adj.贪污的 v.使腐化；使堕落
disrupt,v.扰乱；使中断
interrupt,v.打断；打扰
moral,adj.道德的；道义上的 n.道德；寓意
orbit,v.环绕...运⾏ n.轨道
optimism,n.乐观；乐观主义
antique,n.古董；⽂物 adj.古⽼的；古董的
nourish,v.滋养；养育
inferior,adj.较差的；低等的
optional,adj.可选择的
adoption,n.采⽤；收养
geology,n.地质学；低质
sensible,adj.明智的；意识到的
sensitive,adj.敏感的；灵敏的
consent,n./v.同意；赞成
resent,v.愤恨；怨恨
represent,v.代表；陈述
representative,adj.典型的；有代表性的 n.代表
fraction,n.⼩部分；分数
fragment,n.碎⽚；⽚段
principal,adj.主要的 n.校⻓
principle,n.原则
premier,n.总理；⾸相 adj.⾸要的
preferable,adj.更好的；更合适的
preference,n.偏爱；喜爱
preliminary,adj.预备的；初步的
prejudice,n.偏⻅；成⻅
pretend,v.假装；装作
prevent,v.预防；防⽌
prevail,v.盛⾏；流⾏
precise,adj.精确的；准确的
invade,v.⼊侵；侵略；⼲扰
index,n.索引；指标
indicate,v.表明；暗示
thoughtful,adj.沉思的；周到的；体贴的
considerate,adj.体贴的；体谅的
faithful,adj.忠诚的；如实的
fruitful,adj.成果丰硕的
calendar,n.⽇历；⽇程表
scholar,n.学者
lunar,adj.⽉亮的；阴历的
plentiful,adj.丰富的；众多的
skillful,adj.熟练的；巧妙的
dynamic,n.动⼒；活⼒ adj.充满活⼒的；动⼒的
dramatic,adj.戏剧的
magnetic,adj.磁性的；有吸引⼒的
alcohol,n.酒精
diplomatic,adj.外交的；灵活变通的
idealistic,adj.理想主义的；空想的
strategic,adj.战略的；策略的
ethic,n.道德规范；伦理
pessimistic,adj.悲观的；悲观主义的
romantic,adj.浪漫的
academic,adj.学术的；学院的
characteristic,n.特征 adj.典型的
cubic,adj.⽴⽅的；⽴⽅体的
brochure,n.⼿册；⼩册⼦
assure,v.使确信；确保
ensure,v.保证
insure,v.投保；承保
insurance,n.保险；保险费
panel,n.嵌板；镶板；专家咨询组
punctual,adj.按时的；准时的
input,n./v.输⼊；投⼊
install,v.安装；任命
inclusive,adj.包括的；包容⼴阔的
instant,adj.⽴即的 n.瞬间
instinct,n.本能；天性
institute,n.机构；研究院
insult,v.侮辱；冒犯 n.侮辱；冒犯 [ˈɪnsʌlt]
investigate,v.调查
insane,adj.精神失常的；疯狂的
implement,v.执⾏；贯彻 n.⼯具
impulse,n.冲动；推动⼒ v.推动 adj.⼀时兴起的
inflate,v.（使）充⽓；（使）膨胀
inflation,n.通货膨胀
insight,n.洞悉；洞察⼒
intact,adj.完整的
intake,n.摄取量；摄⼊
intrude,v.闯⼊；侵⼊
irregular,adj.不规则的；⽆规律的
irrigate,v.灌溉；冲洗 3
object,n.物体；⽬标 [əbˈdʒekt]v.反对
oblige,v.迫使；帮忙
obstacle,n.障碍；障碍物
vague,adj.模糊的；不明确的
error,n.错误；差错
miserable,adj.痛苦的；悲惨的
construct,v.建造；修建
structure,n.结构；构造；建筑物
destruction,n.破坏；毁灭
instruction,n.教授；指示；命令
instrument,n.仪器；⼯具；乐器；⼿段
navy,n.海军
navigate,v.导航；航⾏
pump,n.泵 v.⽤泵输送
prescribe,v.开处⽅
artificial,adj.⼈造的；⼈⼯的
privilege,n.特权；优惠
infer,v.推断；推论
vital,adj.⾄关重要的；⽣命的；充满⽣机的
vigor,n.活⼒；精⼒；热情
vigorous,adj.充满活⼒的
vivid,adj.⽣动的；清晰的
enclose,v.围住
exclusively,adv.仅仅；专⻔地
mutual,adj.相互的；共同的
moisture,n.潮⽓；⽔分
moist,adj.潮湿的；湿润的
feature,n.特征；特⾊
procedure,n.程序；步骤
manufacture,v.（⽤机器⼤量）⽣产；制造 n.批量⽣产
restrict,v.限制；限定；约束
stimulate,v.刺激；激励；激发
venture,n.（⻛险的）企业；冒险⾏动 v.敢于去
innovate,v.创新；改⾰
innovation,n.创新；⾰新
innovative,adj.⾰新的；创新的
violate,v.侵犯；违反；违背
delicate,adj.精致的；脆弱的；微妙的
estimate,v.估计；估算
evaluate,v.评估；估价
imitate,v.模仿；仿效
penetrate,v.穿过；渗透
adequate,adj.⾜够的
anticipate,v.预料；预期；期望
candidate,n.候选⼈；应试者
furnish,v.布置家具；提供
furniture,n.家具
pirate,n.海盗；盗版者 v.窃⽤ adj.盗版的
vibrate,v.（使）颤动
coordinate,v.（使）协调；搭配 n.坐标
isolate,v.使隔离；使分离
accelerate,v.（使）加速
justice,n.公正；正义；司法
adjust,v.调整；调节；适应
portion,n.部分；⼀份
petrol,n.汽油
velocity,n.速度；⾼速
integrity,n.完整；诚实；正直
density,n.密度
dense,adj.密集的
elastic,adj.有弹性的；灵活的 n.松紧带
dignity,n.尊严；尊贵；⾼尚
forbid,v.禁⽌；不许；阻⽌
minority,n.少数；少数⺠族
nationality,n.国籍；⺠族
arrange,v.整理；排列；安排
register,v.登记；注册 n.登记簿
joint,adj.联合的；共同的
incline,v.倾向于 n.斜坡
facility,n.设备；设施
penalty,n.惩罚；处罚；刑罚
collaborate,v.合作
collaboration,n.合作
elaborate,adj.精⼼制作的；复杂的；详尽的
multiply,v.乘；倍增
forecast,n./v.预测；预报
foremost,adj.最重要的；最前的
legislate,v.⽴法；制定法律
refrigerator,n.冰箱；冷藏库
ballot,n.投票；投票选举 v.投票
gravity,n.重⼒；地⼼引⼒；严重性
discard,v.丢弃；抛弃
distribute,v.分配
discharge,v.释放；解雇；排放 n.排出（物）
discriminate,v.辨别；歧视
disguise,v./n.伪装；假扮
disgust,n.厌恶；反感 v.使厌恶；使反感 4
integrate,v.（使）合并；融⼊群体
disintegrate,v.瓦解；解体
distress,n.痛苦；悲伤；贫困 v.使悲伤
dispute,n./v.争论；辩论
dilemma,n.（进退两难的）窘境；困境
dioxide,n.⼆氧化物
disobey,v.不服从；违反
distinct,adj.明显的；清楚的
distinction,n.差别；优秀；荣誉
distinguished,adj.卓越的；杰出的
genius,n.天才；天赋；天资
genuine,adj.真的；真诚的
gene,n.基因
abolish,v.废除；废⽌
dispatch,v./n.派遣
absent,adj.缺少的；缺席的；⼼不在焉的
cease,v.终⽌；结束 n.停⽌
proceed,v.继续做；前往；⾏进
procession,n.队伍；（⼈或⻋辆的）⾏列
exceed,v.超出；超过；超越
excess,n.过量；过度 adj.超额的
excessive,adj.过分的；过度的
abuse,v./n.滥⽤；虐待
absorb,v.吸收；吸引；使专⼼
abstract,n.摘要 adj.抽象的 v.提取
solemn,adj.庄严的；严肃的
practically,adv.实际地；⼏乎
pioneer,n.先锋；先驱
routine,n.常规 adj.常规的；⽇常的
marine,adj.海洋的；海运的
ideal,adj.理想的；想象的 n.理想；典范
vehicle,n.⻋辆；⼯具；⼿段
intimate,adj.亲密的 v.透露 n.密友
realistic,adj.现实的；实际的
surge,v./n.激增；涌动
reckon,v.认为；预计；估计
ozone,n.臭氧
display,n./v.展示；陈列
habitat,n.栖息地
inhabit,v.居住于；栖息在
inhabitant,n.居⺠；栖息动物
vertical,adj.垂直的；直⽴的；纵向的
convert,v.（使）转变；（使）皈依
converse,v.交谈；谈话 n.相反的事物
conversation,n.（⾮正式的）谈话；交谈
version,n.版本；样式；说法
confine,v.限制；禁闭
finite,adj.有限的
infinite,adj.⽆限的；极⼤的
define,v.阐明；给...下定义；界定
definition,n.定义
definite,adj.确定的；肯定的
reverse,v.颠倒；反转 adj.相反的
diverse,adj.不同的；多种多样的
successive,adj.连续的；相继的
refine,v.精炼；提纯；改善
refined,adj.精炼的；有教养的
municipal,adj.市政的；城市的
unique,adj.独特的；独⼀⽆⼆的
community,n.社区；社会；社团
commune,n.公社
interval,n.间隔；休息时间
universal,adj.普遍的；通⽤的；全体的；共同的
nuclear,adj.原⼦核的；核能的
superficial,adj.表⾯的；肤浅的
supreme,adj.最⾼的；⾄⾼⽆上的；最重要的
superior,adj.更⾼的；更好的；有优越感的
explode,v.（使）爆炸；爆发
explosion,n.爆炸；激增
intelligent,adj.聪明的；有才智的；智能的
intelligence,n.智⼒；才智；情报
interfere,v.⼲涉；⼲扰；妨碍
interior,adj.内部的 n.内部；内地
interpret,v.解释；说明；⼝译
enterprise,n.企业；事业⼼
entrepreneur,n.企业家
exhaust,v.使筋疲⼒尽；耗尽
exhausted,adj.筋疲⼒尽的；耗尽的
exaggerate,v.夸⼤；夸张
exclaim,v.呼喊；惊叫
execute,v.实施；执⾏；处死
executive,n.主管领导；管理⼈员 adj.⾏政的
explicit,adj.明确的；详述的
extinguish,v.熄灭；消灭；使破灭
exploit,v.利⽤；开采；剥削
exert,v.运⽤；发挥；尽⼒；施加
exhibit,v.展览；展出；表现；显出
reliability,n.可靠性 5
reliable,adj.可靠的
stability,n.稳定（性）；稳固（性）
stable,adj.稳定的；牢固的
fertile,adj.肥沃的；富饶的；可繁殖的
fertilizer,n.肥料
hostile,adj.敌对的；怀敌意的；敌⽅的
restrain,v.约束；管制；抑制
expert,n.专家；⾏家 adj.专业的
expertise,n.专⻓；专⻔技能
prior,adj.先前的；优先的
priority,n.优先；优先权
retail,n./v.零售
recruit,v.招募；招聘
refrain,v.克制
renovate,v.翻新；修复
revenue,n.财政收⼊；税收
remedy,v.改正 n.治疗⽅法；补救措施
rescue,v./n.援救；营救
resort,v.求助；诉诸于 n.度假胜地
reveal,v.揭示；暴露
precaution,n.预防措施
reinforce,v.增援；加强；巩固
refresh,v.使恢复；更新；使想起
restore,v.恢复；归还；修复
retreat,v./n.后退；撤退；躲避
revolt,v./n.反抗；反叛
speculate,v.推测；推断；猜测；投机
respective,adj.各⾃的；各个的
rebel,v.反抗；造反；反叛 n.反叛者 [rɪˈbel]
corporation,n.公司；企业；法⼈
inspect,v.检查；视察；检阅
perspective,n.观点；看法；透视；视⻆
prospect,n.展望；前景；景⾊
specific,adj.明确的；具体的
specialize,v.专攻；专⻔从事
recreation,n.娱乐；娱乐活动
increasingly,adv.⽇益增⻓地；越来越多地
vacant,adj.空的；空缺的；呆滞的
vacuum,n.真空；真空吸尘器 v.⽤真空吸尘器打 扫adj.真空的
vanish,v.突然不⻅；消失
literal,adj.字⾯意义的；⽂字的；完全按原⽂的
decent,adj.体⾯的；得体的；像样的；⾼雅的
inherit,v.继承（遗产）；遗传
dimension,n.维度；⽅⾯
immense,adj.巨⼤的
utilize,v.利⽤；使⽤
utility,n.实⽤；效⽤；公共事业
species,n.物种
decorate,v.装饰；装潢
humble,adj.谦逊的
equality,n.相等；等同；平等
equivalent,adj.等价的；相等的 n.等价物；等量
sequence,n.顺序；次序
consequence,n.结果；后果
consequently,adv.因此；所以
subsequent,adj.随后的；后来的
sympathize,v.同情；⽀持
sympathetic,adj.同情的；赞同的
passion,n 激情；热情；爱好
passionate,adj.狂热的
passive,adj.被动的；消极的
format,n 形式；版式；格式
inform,v.通知；了解
reform,v./n.改良；改⾰
formulate,v.规划；制定；确切表达
federal,adj.联邦的；联盟的
extraordinary,adj.⾮同寻常的
margin,n 边缘；⻚边的空⽩
fluctuate,v.波动；起伏
fluid,n.液体 adj.流动的
fluent,adj.流利的；流畅的
suspend,v.推迟；使暂停；吊；悬
suspect,v.怀疑 n.嫌疑犯
temporary,adj.暂时的；临时的
contemporary,adj.当代的；现代的
tremble,v.颤抖；战栗；焦虑 n.颤抖
terminal,adj.末端的；终点的；晚期的 n.末端
majority,n.多数；⼤多数
collapse,v./n.倒塌；崩溃
colleague,n.同事；同僚
collision,n.碰撞；冲突；抵触
comprise,v.包含；包括；抵触
compromise,v./n.妥协；和解
compact,adj.紧凑的；体积⼩的 n.协议
commence,v.开始；着⼿
comply,v.服从；顺从；遵从；遵守
concrete,adj.实在的；具体的 n.混凝⼟ 6
condemn,v.谴责；指责；判刑
contest,n.竞赛 v.争取赢得
contract,n.合同；契约 v.缩⼩；感染 [kənˈtr(kt]
context,n.上下⽂；背景；环境
conceal,v.隐藏；隐瞒
condense,v.使浓缩；简缩
confirm,v.确认；确定；批准
constitute,v.组成；构成；建⽴；制定
contact,n./v.接触；联系
convey,v.表达；传送
convince,v.使确信；使信服
conflict,n./v.冲突；⽃争
consolidate,v.（使）巩固；（使）强化；（使）合并
contaminate,v.污染；弄脏；腐蚀
council,n.理事会；委员会
coherence,n.⼀致；连贯性
coherent,adj.合乎逻辑的；有条理的
conference,n.会议；讨论会
conscience,n.良⼼；道德⼼
existence,n.存在；⽣活（⽅式）
compel,v.强迫；引起
compulsory,adj.强制性的；必修的；义务的
expel,v.开除；驱逐出境
appeal,v./n.呼吁；上诉；吸引⼒
counsel,n.建议；劝告；法律顾问 v.劝告；建议
consult,v.咨询；请教；协商；查阅
consultant,n.顾问
category,n.种类；类别；范畴
combat,n./v 搏⽃；战⽃
compress,v.压缩；精简
depress,v.使沮丧；使萧条
depression,n.抑郁；萧条期
annual,adj.每年的；年度的 n.年刊
section,n.部⻔；部分；⼀段
segment,n.部分；段 v.分割
liberate,v.解放；释放
liberty,n.⾃由
deliver,v.递送；发表；分娩；接⽣
contradict,v.反驳；与...⽭盾
contrary,adj.相反的；对⽴的 n.相反
contrast,v./n.对⽐；对照
controversy,n.争论；辩论
reproduce,v.繁殖；⽣殖；复制；使再⽣
transmission,n.传递；传播
mission,n.任务；使命；使团
commission,n.委员会；佣⾦
omit,v.省略；删掉；遗漏
dismiss,v.解雇；遣散；解散；驳回
commit,v.犯罪；承诺
committee,n.委员会；全体委员
settlement,n.定居点；解决；结算；移⺠
supplement,v./n.补充；增补
installment,n.分期付款
conduct,v.组织；指挥；引导 n.⾏为举⽌
shortage,n.不⾜；缺少；短缺
drain,v.排空；流出 n.下⽔道；排⽔管
drainage,n.排⽔；排⽔系统
beverage,n.饮料
arbitrary,adj.随意的；专横的
boundary,n.分界线；边界
elementary,adj.基本的；初级的
monetary,adj.货币的；⾦融的
voluntary,adj.⾃愿的；志愿的
acute,adj.⼗分严重的；急性的；灵敏的
hospitable,adj.好客的；适宜的
injection,n.注射；注⼊
reject,v.拒绝
catalogue,（亦作 catalog） n.⽬录；⽬录册
sponsor,n.赞助商 v.赞助
correspond,v.相符合；⼀致；通信
corresponding,adj.符合的；相应的
decade,n.⼗年
aggressive,adj.有进取⼼的；挑衅的；侵略的
congress,n.代表⼤会；国会；议会
resign,v.辞职
mount,v.登上；增加
sacrifice,v.牺牲；祭献 n.牺牲；祭品
accord,v.符合；给予 n.协议；条约
accordance,n.符合；⼀致
accordingly,adv.相应地；照着；因此
enthusiasm,n.热情
enthusiastic,adj.热情的
logic,n.逻辑
logical,adj.符合逻辑的；合乎情理的
embrace,v.拥抱；包括
emphasize,v.强调；重读；重视
encounter,v./n.遭遇；遇到 7
endure,v.忍受；容忍
enforce,v.强制实施；强制执⾏；强迫
engage,v.从事；吸引；聘⽤；交战
entitle,v.给予（某⼈）权利；给...题名
envy,v./n.忌妒；羡慕
entry,n.⼊⼝；进⼊；登记；条⽬
enlighten,v.启发；开导；阐明
enroll,（亦作 enrol）v.注册；登记；加⼊
property,n.财产；资产；性质
feasible,adj.可⾏的
tangible,adj.有形的；实际的；可触摸的
intangible,adj.⽆形的；难以形容的
administer,v.管理；执⾏
advocate,v.提倡；⽀持 n.⽀持者；拥护者
accumulate,v.积累
acquaint,v.使熟悉；使了解
acquaintance,n.熟⼈
accuse,v.控告；指控；谴责
appetite,n.⻝欲；胃⼝；欲望
approximate,adj.近似的
acknowledge,n.承认；感谢
approach,v.接近 n.⽅法
attribute,v.把...归因于 [ˈ(trɪbjuːt] n.属性
arrest,v./n.逮捕
annoy,v.使恼怒；使⽣⽓
asset,n.资产；有⽤的⼈或物
evident,adj.明显的；显然的
evidence,n.证据；证明
visible,adj.可⻅的
invisible,adj.看不⻅的；⽆形的
vision,n.视⼒；视野
devise,v.发明；设计；想出
revise,v.修订；修改；复习 n.校订
witness,n.⽬击者；证⼈ v.⽬击
summit,n.最⾼点；⾸脑会议；峰会；顶峰
assume,v.假定；承担；呈现
democracy,n.⺠主；⺠主政体
democratic,adj.⺠主的
ultimate,adj.最后的；最终的；终极的
disturb,v.扰乱；打扰；妨碍；使不安
frontier,n.边境；边疆；边界
confront,v.⾯对；对抗
withdraw,v.撤回；退出；收回；提；取
withstand,v.承受；经受住
evolution,n.进化；演化；发展
volume,n.卷；册；量；体积；⾳量
revolution,n.⾰命；旋转
circumstance,n.条件；环境；状况
opponent,n.对⼿；反对者；竞争者
oppose,v.反对；反抗
synthetic,adj.综合的；合成的；⼈造的 n.合成物
symptom,n.症状；征兆
resemble,v.像；与...相似
assemble,v.集合；装配
capacity,n.容量；能⼒
static,adj.静⽌的；静态的 n.静电
status,n.地位；身份；状况
stadium,n.体育场；运动场
statistic,n.统计数据；统计学（statistics）
estate,n.庄园；地产；财产；遗产
instance,n.例⼦；实例；事例
insist,v.坚持；坚持要求
consist,v.由...组成
resist,v.抵抗；反抗
resistance,n.反对；抵抗
resistant,adj.抵抗的；抗...的
sightseeing,n.观光；游览
surrounding,adj.周围的
calculating,adj.精明的；有⼼计的；精于计算的
imposing,adj.令⼈印象深刻的；壮观的
regarding,prep.关于
concerning,prep.关于；涉及
sophisticated,adj.⻅多识⼴的；⽼练的；复杂巧妙 的
advanced,adj.先进的；⾼等的；⾼级的；年⽼的
steady,adj.稳定的；稳固的
sticky,adj.黏性的；棘⼿的
guilty,adj.羞愧的；内疚的
greedy,adj.贪婪的；贪吃的
rational,adj.合理的；理性的
irrational,adj.不合理的
faulty,adj.有错误的；有缺陷的
slippery,adj.滑的；油滑的
dictate,v.⼝述；命令；使听写 n.命令；规定
dictation,n.听写；⼝述
predict,v.预测；预⾔
initiate,v.开始；发起
initial,adj.最初的；开始的 8
initiative,n.倡议；⾃发性；主动性
ambition,n.雄⼼；抱负
veteran,n.⽼兵；⽼⼿
fate,n.命运
fatal,adj.致命的；灾难性的
flame,n.⽕焰；热情 v.燃烧；发怒
phenomenon,（复数 phenomena）n.现象
foundation,n.基础；地基；基⾦会
fund,n.基⾦；资⾦
fundamental,adj.基础的；基本的；根本的
alternative,adj.供选择的；可替代的 n.可供选择 的事物
underline,v.强调；在...下划线
undergo,v.经历；遭受
undertake,v.承担；从事；承诺
jury,n.陪审团；评委会
injure,v.伤害；损害；损伤
injury,n.伤害；损伤
rigid,adj.严格的；僵硬的；刚硬的
valid,adj.有效的；正当的
acid,adj.酸的；酸性的 n.酸
splendid,adj.辉煌的；极佳的；壮丽的；豪华的
compatible,adj.兼容的；和睦共处的；志趣相投的
neutral,adj.中⽴的；中性的
conventional,adj.传统的；依照惯例的
typical,adj.典型的
arrival,n.抵达；到达
proof,n.证明；证据 adj.防...的
waterproof,adj.防⽔的 n.防⽔⾐物；⾬⾐ v.使防⽔
reputation,n.名誉；名声
resolution,n.决议；决⼼；解决
resolve,v.解决；决⼼
temptation,n.诱惑；引诱
vocation,n.职业；⼯作；使命感
cooperation,n.合作；协助
frustration,n.挫败；沮丧
pension,n.养⽼⾦；退休⾦；补助⾦ v.发给...养⽼⾦
invasion,n.⼊侵；侵略
institution,n.机构；制度；习俗
cohesion,n.结合；凝聚性；内聚⼒
conjunction,n.连词；结合
convention,n.习俗；惯例；⼤会；公约
constitution,n.宪法；章程；体质；构造
consumption,n.消耗；消费
combination,n.组合；联合
submit,v.呈递；提交；服从
substantial,adj.⼤量的；牢固的
substitute,n.代替者；替代品 v.⽤...代替 adj.替代 性的
substance,n.物质；实质
subject,n.主题；学科；实验对象 adj.可能受...的影 响 v.使⾂服；使遭受
lessen,v.减少；减轻
strengthen,v.加强；增强
broaden,v.（使）变宽；（使）扩⼤
maiden,n.少⼥ adj.⾸次的
submarine,adj.⽔下的；海底的 n.潜⽔艇
submerge,v.淹没；潜⼊⽔中
conquer,v.征服；克服
conquest,n.征服；克服
threaten,v.威胁；恐吓
fasten,v.系牢；扎牢
enquire,（亦作 inquire）v.询问；打听；调查
enquiry,（亦作 inquiry）n.询问；调查；探索
essence,n.本质；实质；精髓
essential,adj.基本的；必要的；极其重要的
permanent,adj.永久的；⻓久的
persist,v.坚持；执意
persuade,v.劝说；说服
persevere,v.坚持
perseverance,n.毅⼒；韧性
preserve,v.保护；维持；保存
reserve,v.预定；保留
deserve,v.值得；应受
observe,v.观察；看到
conserve,v.节约；保护
conservative,adj.保守的 n.保守的⼈；保守党
mislead,v.误导
criticize,v.批评；指责；评论
criticism,n.批评；评论
critical,adj.批判的；极其重要的
crisis,（复数 crises）n.危机；危难时刻
criterion,（复数 criteria）n.标准
casual,adj.漫不经⼼的；⾮正式的；偶然的
indifferent,adj.漠不关⼼的
dissolve,v.使溶解；解除；消除
awesome,adj.令⼈惊叹的；很好的 9
modest,adj.谦虚的；适中的；朴素的
moderate,adj.适中的；温和的 v.缓和
commodity,n.商品；有⽤之物
accommodate,v.提供住宿；容纳
accommodation,n.住处；住宿
miracle,n.奇迹
marvel,n.奇迹 v.感到惊奇
sew,v.缝制；缝纫
pilot,n.⻜⾏员 v.驾驶 adj.试验性的；试点的
label,n.标签；标记 v.贴标签于...
blend,v.混合；融合 n.混合体
pitch,n.球场；⾳调 v.投；掷
tame,adj.驯服的；温顺的 v.驯化；驯服
pray,v.祷告；祈祷
claim,v./n.宣称；声称；索取
digest,v.消化；领会 n.摘要；⽂摘
loan,n.贷款；借出 v.借出
slender,adj.纤细的；苗条的
grave,n.坟墓 adj.严重的；严肃的
grand,adj.宏伟的；壮丽的；总结的
chief,adj.主要的；⾸席的
former,adj.以前的 n.模型
latter,adj.后者的；后⾯的
shift,v./n.移动；改变
ceremony,n.典礼；仪式
patch,n.补丁；眼罩；⼩⽚ v.修补；缝补
steer,v.驾驶；⾏驶；引导；控制
damp,adj.潮湿的；微湿的 n.潮湿；湿⽓
creep,v.爬⾏；匍匐；蔓延
scratch,v./n.搔；抓；划伤
seal,n.密封；印章；海豹 v.密封
rent,v.租⽤ n.租⾦
stir,v./n.搅拌；搅和 n.震动
blank,adj.空⽩的 n.空⽩
whisper,n.⽿语；谣传 v.⽿语；低语
spill,v.（使）溢出；蜂拥⽽出 n.溢出（量）
